Version,1,03Feb14
Bridge Federation Of The Act,ACT,1801
Canberra!,ACT,1851
Capital!,ACT,1855
Cootamundra!,NSW,1858
Monaro!,NSW,1863
South Canberra!,ACT,1893
New South Wales Bridge Association,NSW,2001
Nswba State Mp Secretary,nsw,2002
Berry!,NSW,2004
Commercial Club! Albury,NSW,2005
Sydney Bridge Centre,NSW,2006
Bega Valley!,NSW,2009
Armidale!,NSW,2010
Holiday Bridge,NSW,2011
Mona Vale!,NSW,2012
Bowral!,NSW,2013
Bathurst & District!,NSW,2015
Ballina!,NSW,2016
Bungendore!,NSW,2017
Ballina Seniors!,NSW,2018
Batemans Bay!,NSW,2019
Blue Mountains!,NSW,2020
Brunswick Valley!,NSW,2021
Brisbane Water!,NSW,2022
Byron Bay!,NSW,2023
Camden Haven Lusc!,NSW,2024
Central Coast!,NSW,2025
Charlestown!,NSW,2026
Coffs Harbour!,NSW,2028
Cessnock!,NSW,2029
Coonabarabran!,NSW,2030
Concord!,NSW,2031
Castle Hill Country Club - Bridge Group,NSW,2032
Carnarvon!,NSW,2034
Community! Bateau Bay,NSW,2035
Central Coast Leagues!,NSW,2036
Condobolin!,NSW,2037
Cowra & District!,NSW,2038
Cromer!,NSW,2040
Cheltenham!,NSW,2041
Bridge With Beauchamp,NSW,2050
Elanora Country Club,NSW,2058
Inverell Delvyn!,NSW,2060
Double Bay Bridge Centre,NSW,2061
Dora Creek!,NSW,2063
Easts!,NSW,2065
Forbes!,NSW,2066
Finesse!,NSW,2067
Forest!,NSW,2068
Forestville Rsl!,NSW,2069
Glen!,NSW,2070
Gordon Bridge Centre,NSW,2074
Glenbrook!,NSW,2075
Carlingford!,NSW,2077
Grafton!,NSW,2078
The Grange Bridge Centre,NSW,2079
Goulburn!,NSW,2080
Great Lakes!,NSW,2081
Griffith Ex-servicemens Club!,NSW,2085
Kiama & District!,NSW,2086
Gunnedah!,NSW,2087
Gulargambone!,NSW,2089
Harbourview!,NSW,2091
Hawks Nest!,NSW,2092
Hawkesbury!,NSW,2093
Hunter!,NSW,2097
Hunters Hill!,NSW,2098
Hurstville!,NSW,2099
Ingleburn Rsl!,NSW,2100
Illawarra Bridge Association,NSW,2105
Killara!,NSW,2106
Ku-ring-gai!,NSW,2108
Kings And Queens Bridge,NSW,2112
Lennox Head!,NSW,2114
Leeton Soldiers!,NSW,2116
North Shore!,NSW,2120
Lismore!,NSW,2123
Long Reef!,NSW,2125
Macarthur Collegians!,NSW,2126
Dubbo!,NSW,2130
Maitland!,NSW,2133
Balgowlah-dee Why Rsl!,NSW,2136
Manly Golf Club Bridge Group,NSW,2138
Manly Warringah Leagues!,NSW,2140
Merewether South!,NSW,2142
Milton!,NSW,2144
Narrabeen!,NSW,2145
Mollymook!,NSW,2146
Moree!,NSW,2149
Mosman Park!,NSW,2151
Orange!,NSW,2152
Mudgee!,NSW,2153
Muswellbrook!,NSW,2155
Murwillumbah!,NSW,2158
Newcastle!,NSW,2160
Nelson Bay!,NSW,2163
Narromine & Trangie!,NSW,2168
Nambucca Valley!,NSW,2170
New England Bridge Group,NSW,2175
Bridgefolk,NSW,2178
North Sydney Leagues!,NSW,2190
Oxley!,NSW,2195
Nyngan!,NSW,2197
Parramatta!,NSW,2200
Palm Beach!,NSW,2202
Parkes!,NSW,2205
Peninsula! - NSW,NSW,2210
Pennant Hills!,NSW,2213
Penrith!,NSW,2216
Port Hacking!,NSW,2220
Port Stephens!,NSW,2222
Quick Tricks Bridge Centre,NSW,2223
Quirindi District Card Club,NSW,2224
Port Macquarie!,NSW,2225
Port Macquarie Panthers!,NSW,2226
Port Macquarie Hastings Bridge Association,NSW,2227
Bridge Away,NSW,2228
Randwick!,NSW,2230
Reef!,NSW,2232
The Sapphire Coast! ,NSW,2234
Nowra!,NSW,2235
Scone!,NSW,2236
St George Budapest!,NSW,2237
