"10cc Bridge Club","London","00473522"
"3 Counties Bridge Club","LIPHOOK","00464326"
"Abbey Smith Bridge Club","BUCKINGHAM","00467931"
"ABC Bridge Club","DEAL","00210563"
"Aberdeen Bridge Club","ABERDEEN","00431223"
"Aberdeen Phoenix Bridge Club","STONEHAVEN","00468727"
"Aberystwyth Bridge Club","ABERYSTWYTH","00471530"
"Abingdon Duplicate Bridge Club","ABINGDON","00201067"
"Acacia Bridge Club","WALLINGTON","00209981"
"Accolade Holidays Ltd","SHEFFIELD","00415238"
"Aces Bridge Club","HESKETH BANK","00210022"
"Adur Valley Bridge Club","HORSHAM","00211013"
"Afternoon Bridge Club","NORWICH","00432017"
"Aireborough Bridge Club","Adel","00207396"
"Aldeburgh Bridge Club","Saxmundham","00203528"
"Allendale Bridge Club","BROADSTONE","00209943"
"Allestree Bridge Club","Belper","00210009"
"Alnwick Bridge Club","ALNWICK","00211162"
"Alpha Bridge Club","Great Yarmouth","00211026"
"Alpha Bridge Club","CHELMSFORD","00203509"
"Alton Bridge Club","ALTON","00206075"
"Altrincham Bridge Club","KNUTSFORD","00210742"
"Amersham Community Centre Bridge Club","CHESHAM","00208641"
"Andover Bridge Club","WINCHESTER","00202207"
"Ann Owen Bridge Club","Billericay","00210629"
"Antonine Bridge Club"," G62","00469054"
"Apple Bridge Club","BILLERICAY","00211127"
"Arbroath Bridge Club","CARNOUSTIE","00468435"
"Arden Bridge Club","Droitwich","00203386"
"Ascot Bridge Club","BRACKNELL","00207339"
"Ashby Bridge Club","ASHBY-DE-LA-ZOUCH","00207806"
"Ashford & District Bridge Club","ASHFORD","00209905"
"Ashford (Kent) Bridge Club","ASHFORD","00208318"
"Austenwood Bridge Club","UXBRIDGE","00203947"
"Avenue Bridge Club","Hove","00203471"
"Avonside Bridge Club","Bath","00207568"
"Aylesbury Aces Bridge Club","Stone","00429248"
"Aylesbury Bridge Club","AYLESBURY","00206037"
"Aylesbury Vale BC","AYLESBURY","00211277"
"Aylsham & District Bridge Club","NORWICH","00201695"
"Aylsham & North Walsham Bridge Circle","Aylsham","00211282"
"Ayrshire Bridge Union","KA1 ","00468735"
"Badger Farm Acol Club","WINCHESTER","00201334"
"Badger Farm Bridge Club","STOCKBRIDGE","00202284"
"Bailey Bridge Club","CHICHESTER","00206580"
"Bakewell Area U3A Bridge Club","BAKEWELL","00470618"
"Bakewell Bridge Club","MATLOCK","00204137"
"Balsham Bridge Club","Cambridge","00208584"
"Banbury Bridge Club","Banbury","00209867"
"Banchory & District Bridge Club","BANCHORY","00474595"
"Bangor Contract Bridge Club","BANGOR","00468720"
"Barnard Castle Bridge Club","Bernard Castle","00203757"
"Barnet Bridge Club","HATCH END","00210982"
"Barnsley Bridge Club","SHEFFIELD","00208889"
"Barnstaple Bridge Club","BISHOPS TAWTON","00209269"
"Barrivale Bridge Club","BARRY","00470000"
"Barrow Bridge Club","ULVERSTON","00203433"
"Basford Bridge Club","STOKE-ON-TRENT","00204061"
"Basingstoke Bridge Club","BASINGSTOKE","00207282"
"Bath Bridge Club","BATH","00208565"
"Bawburgh Bridge Club","Beighton","00415176"
"Beaconsfield Bridge Club","HIGH WYCOMBE","00425635"
"Beauchief Bridge Club","Chesterfield","00204812"
"Beccles Bridge Club","THETFORD","00209848"
"Beckenham Bridge Club","BECKENHAM","00202131"
"Bedford Bridge Club","BEDFORD","00203414"
"Bekesbourne Pilgrims Bridge Club","WHITSTABLE","00475286"
"Belper Bridge Club","Matlock","00208546"
"Berkhamsted Bridge Club","BOVINGDON","00209829"
"Best of Bridge","St Albans","00431272"
"Beverley Bridge Club","BEVERLEY","00211075"
"Bewdley Bridge Club","DROITWICH","00204678"
"Bexhill Bridge Club","Hastings","00205829"
"Bicester Bridge Club","BRACKLEY","00205961"
"Billericay Mayflower Bridge Club","BILLERICAY","00205068"
"Bingham Bridge Club","NOTTINGHAM","00208527"
"Bishop Auckland Bridge Club","Co. Durham","00203928"
"Blaby Bridge Club","Whetstone","00206323"
"Blackheath Bridge Club","LONDON","00204659"
"Bletchingley Bridge Club","CATERHAM","00210425"
"Blewbury Bridge Club","DIDCOT","00210076"
"Blinco Bridge Club","CAMBRIDGE","00208508"
"Blundellsands Bridge Club","LIVERPOOL","00209791"
"Bodmin Bridge Club","Fowey","00202074"
"Bolton Bridge Club","Bolton","00204640"
"Bookham Afternoon Bridge Club","EPSOM","00205923"
"Border Bridge Club","Welshpool","00210813"
"Bordon Bridge Club","FARNHAM","00209108"
"Boston Bridge Club","Boston","00207206"
"Bourne Bridge Club","BOURNE","00479031"
"Bourne Club","Farnham","00210926"
"Bourne End Bridge Club","BOURNE END","00209772"
"Bracknell Forest Bridge Club","FLEET","00206731"
"Bradford Bridge Club","KEIGHLEY","00205904"
"Bradgate Bridge Club","LOUGHBOROUGH","00207187"
"Bradshaw Bridge Club","Pangbourne","00210028"
"Bramhall Green Bridge Club","STOCKPORT","00437421"
"Bramhall Village Bridge Club","CONGLETON","00209753"
"Braunton Bridge Club","BARNSTAPLE","00205145"
"Brechin Bridge Club","BRECHIN","00468836"
"Brecon Bridge Club","BRECON","00468483"
"Bredon Bridge Club","TEWKESBURY","00211066"
"Brentham Bridge Club","LONDON","00205885"
"Brentwood & District Bridge Club","BRENTWOOD","00207168"
"Brevion Bridge Club","CM3 ","00211230"
"Bridge and Games - Bath","Farrington Gurney","00429075"
"Bridgend Duplicate Bridge Club","BRIDGEND","00468724"
"Bridgwater Bridge Club","Bridgwater","00204583"
"Bridlington Bridge Club","Hornsea","00205866"
"Brierfield Bridge Club","Burnley","00205268"
"Brighouse Bridge Club","BRIGHOUSE","00210426"
"Bristol Bridge Club","Bristol","00209715"
"British Airways Bridge Club","HOUNSLOW","00206342"
"British Rail Bridge Club","DERBY","00209696"
"Broadstairs Bridge Club","MARGATE","00425773"
"Bromley North Bridge Club","ORPINGTON","00415750"
"Bromsgrove & District Bridge Club","Bromsgrove","00205828"
"Bromyard Bridge Club","BROMYARD","00210734"
"Broxbourne Bridge Club","Nazeing","00208394"
"Brunton Bridge Club","GATESHEAD","00209677"
"Buccleugh Bridge Club","Moffat","00471340"
"Buchanan Bridge Club","GLASGOW","00467906"
"Buckland Bridge Club","BETCHWORTH","00418633"
"Bude Bridge Club","BIDEFORD","00203243"
"Burgess Hill Bridge Club","Hassocks","00205809"
"Burnham Bridge Club","MARLOW","00203833"
"Burton Bridge Club","REPTON","00209658"
"Bury Athenaeum Bridge Club","Bury","00201941"
"Bury St.Edmunds Bridge Club","Bury St. Edmunds","00203224"
"Busbridge Duplicate Bridge Club","GUILDFORD","00204507"
"Buttons Bridge Club","LONDON","00203396"
"Caen Bridge Club","EX33","00210580"
"Cairngorm Bridge Club","Newtonmore","00468429"
"Caledonian Bridge Club","FORTROSE","00468894"
"Camberley Bridge Club","CROWTHORNE","00209345"
"Camborne Bridge Club","CAMBORNE","00205771"
"Cambridge Bridge Club","ST.NEOTS","00203205"
"Cambridge University Bridge Club","Cambridge","00204488"
"Cannington Bridge Club","Taunton","00203586"
"Canterbury Bridge Club","CANTERBURY","00207054"
"Cardiff Bridge Club","CARDIFF","00468527"
"Carlton Bridge Club","EDINBURGH","00471528"
"Castle Bridge Club (Yorkshire)","Scarborough","00210356"
"Castle Morpeth Bridge Club","Morpeth","00211035"
"Caterham Bridge Club","OXTED","00479047"
"Caversham Park Bridge Club","READING","00203186"
"CCF Coulsdon Bridge Club","COULSDON","00211203"
"Chalfont Bridge Club","HEDGERLEY GREEN","00209041"
"Charter Bridge Club","Lymington","00209601"
"Chasetown Contract Bridge Club","BURNTWOOD","00203624"
"Cheadle Hulme Bridge Club","WILMSLOW","00201884"
"Cheddar Bridge Club","AXBRIDGE","00201248"
"Chelmsford Bridge Club","CHELMSFORD","00204450"
"Cheltenham Bridge Club","STROUD","00205733"
"Cheltenham Nomads Bridge Club","Cheltenham","00204688"
"Chesterfield Bridge Club","Chesterfield","00207016"
"Chester-Le-Street Bridge Club","DURHAM","00211251"
"Chichester Bridge Club","CHICHESTER","00208299"
"Chiltern Bridge League","HENLEY-ON-THAMES","00209582"
"Chiltern Edge Bridge Club","Reading","00201865"
"Chipping Campden Bridge Club","CHIPPING CAMPDEN","00211105"
"Chipping Norton Bridge Club","CHIPPING NORTON","00203148"
"Chipstead Duplicate Bridge Club","Wallington","00209488"
"Chislehurst Bridge Club","WEST WICKHAM","00210732"
"Chobham Bridge Club","WEST BYFLEET","00202921"
"Chorley Bridge Club","Leyland","00204431"
"Christchurch Bridge Club","POOLE","00206997"
"Churchdown Community Association Bridge Club","Cheltenham","00210733"
"CICBA (Guernsey) Bridge Club","GUERNSEY","00200999"
"CICBA (Jersey) Bridge Club","JERSEY","00425627"
"Civil Service Contract Bridge Association","LONDON","00458489"
"Clacton Contract Bridge Club","Colchester","00205695"
"Clare Duplicate Bridge Club","HALSTEAD","00209022"
"Claygate Bridge Club","Thames Ditton","00208261"
"Clevedon Bridge Club","CLEVEDON","00210400"
"Clifton Bridge Club","BALDOCK","00203110"
"Cobham-Heath Bridge Club","ESHER","00203681"
"Colchester Duplicate Bridge Club","Colchester","00206959"
"Collier Row Bridge Club","RM8 ","00201381"
"Cookstown Bridge Club",,"00468605"
"Corsham Bridge Club","CORSHAM","00202588"
"Cottenham Bridge Club","CAMBRIDGE","00207064"
"County Bridge Club","COUNTESTHORPE","00207910"
"Coventry & North Warwickshire Bridge Club","COVENTRY","00208223"
"Coventry Bridge League","Coventry","00206940"
"Cramlington Bridge Club","cramlington","00210440"
"Cranfield Bridge Club","BEDFORD","00207131"
"Crawley Bridge Club","CRAWLEY","00201789"
"Crieff Bridge Club","CRIEFF","00473516"
"Cross In Hand Bridge Club","Hurst Green","00204641"
"Crowborough Bridge Club","CROWBOROUGH","00204355"
"Darlington Bridge Club","DARLINGTON","00209487"
"Deben Bridge Club","IPSWICH","00204336"
"Dell Bridge Club","Wallington","00206902"
"Derby Bridge Club","DERBY","00209468"
"Derryvolgie Bridge Club","Belfast","00468620"
"Deva Bridge Club","Chester","00208347"
"Devizes Bridge Club","WESTBURY","00201571"
"Diamond Bridge","Lichfield","00415718"
"Diamond Bridge Club","AYLESBURY","00211247"
"Dingwall and District Bridge Club","DINGWALL","00468756"
"Ditton Bridge Club","LONG DITTON","00201257"
"Dollar Bridge Club","FK14","00471423"
"Doncaster Bridge Club","DONCASTER","00204317"
"Dorchester Bridge Club","FRAMPTON","00205600"
"Dorking Bridge Club","Dorking","00208167"
"Douglas Bridge Club","ISLE OF MAN","00208166"
"Dover Bridge Club","DOVER","00209449"
"Droitwich Spa Bridge Club","DROITWICH","00203015"
"Dry Drayton Duplicate Bridge School And Club","CAMBRIDGE","00210714"
"Dundee Bridge Club","DUNDEE","00470143"
"Duns Bridge Club","DUNS","00469602"
"Durham Bridge Club","DURHAM","00205581"
"Ealing Bridge Club","West Ealing","00207245"
"Easingwold Bridge Club",,"00211324"
"East Bridgford Bridge Club","NOTTINGHAM","00211217"
"East Midlands Bridge Club","HEANOR","00211125"
"East Sussex Bridge Club","HASTINGS","00210963"
"Eastbourne Bridge Club","EASTBOURNE","00202996"
"Eastern Counties League","HOLT","00454052"
"EBU BFA Club for Sims","AYLESBURY","00469781"
"Eccleshall Bridge Club","STAFFORD","00210768"
"Eckington Bridge Club","WORCESTER","00205924"
"Eden Bridge Club","Carlisle","00205562"
"EDF Energy Bridge Club","Gloucester","00209639"
"Edgbaston Priory Bridge Club","BIRMINGHAM","00477494"
"Effingham Bridge Club","Leatherhead","00208128"
"Ely Bridge Club","PE15","00209563"
"Enfield Duplicate Bridge Club","N21 ","00201162"
"Evesham Bridge Club","EVESHAM","00210454"
"Ewhurst & Ellens Green Bridge Club","Horley","00205543"
"Exeter Bridge Club","EXETER","00210048"
"Exmouth Bridge Club","EXMOUTH","00201039"
"Falconer Bridge Club","LINCOLN","00418761"
"Falmouth Bridge Club","FALMOUTH","00208109"
"Faringdon Bridge Club","FARINGDON","00204451"
"Farnborough (Kent) Bridge Club","BECKENHAM","00209392"
"Farnham Bridge Club","Hook","00201675"
"Felixstowe Bridge Club","IPSWICH","00206770"
"Felsted Bridge Club","Dunmow","00202958"
"Finchampstead Bridge Club","READING","00210913"
"First for Bridge","Bristol","00412323"
"Five Aces Bridge Club","MAIDENHEAD","00203225"
"Five Star Bridge Tours","Nr. Mold","00412309"
"Folkestone Duplicate Bridge Club","HYTHE","00204223"
"Forest Row Duplicate Bridge Club","East Grinstead","00211033"
"Formby Bridge Club","FORMBY","00205524"
"Fort Stamford Bridge Club","Plymouth","00202360"
"Fownhope Bridge Club","HEREFORD","00210566"
"Framlingham Bridge Club","Framlingham","00206807"
"Friendly Friday Bridge Club","SAWBRIDGEWORTH","00442669"
"Friends Bridge Group","HARROW","00429495"
"Frilford Heath Golf Club Bridge Section","SOUTHMOOR","00204679"
"Frinton Duplicate Bridge Club","Walton on the Naze","00209373"
"Frodsham & District Bridge Club","RUNCORN","00201656"
"Frome & District Bridge Club","FROME","00202939"
"Fylde & District Bridge League","LYTHAM ST.ANNES","00203149"
"Gables Bridge Club","Southport","00205505"
"Garforth Bridge Club","LEEDS","00206788"
"Glasgow Bridge Centre","GLASGOW","00469710"
"Glenfield Bridge Club","Leicester","00207492"
"Glenrothes Bridge Club","GLENROTHES","00470264"
"Gloucester Bridge Club","GLOUCESTER","00208052"
"Godalming Bridge Club","CHIDDINGFOLD","00201618"
"Godolphin Bridge Club","TR13","00207938"
