AVN,Avon
BED,Bedfordshire
BRB,Berks. & Bucks.
CUM,Cumbria
CAH,Cambs & Hunts
CHJ,Jersey
CRN,Cornwall
DER,Derbyshire
DIU,Direct UK
DOR,Dorset
DEV,Devon
ESX,Essex
GLO,Gloucestershire
HRT,Herts
HRF,Herefordshire
HIW,Hants & I.O.W.
IOM,Isle Of Man
KEN,Kent
LON,London
LAN,Lancashire
LEI,Leicester
LIN,Lincolnshire
MID,Middlesex
MAN,Manchester
MER,Merseyside/Cheshire
NOT,Notts
NOE,North East
NHM,Northamptonshire
NFK,Norfolk
OXF,Oxford
SUR,Surrey
SUF,Suffolk
SOM,Somerset
STA,Staffs & Shropshire
SUS,Sussex
WAR,Warwickshire
WES,Westmorland
WOR,Worcester
WIL,Wiltshire
YOR,Yorkshire
CHG,Guernsey
HIX,Isle of Wight
DIO,Direct Overseas

